Compound ID,Target,Assay (Percent degradation),DOI,DC50,Dmax,Assay (DC50/Dmax),PROTAC to Target
1,BRD7,20/12 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4/16 h treatment at 1 μM
1,BRD9,19/30 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4/16 h treatment at 1 μM
2,BRD7,19/27 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4/16 h treatment at 1 μM
2,BRD9,5/21 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4/16 h treatment at 1 μM
3,BRD9,94/93 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4/16 h treatment at 1 μM
4,BRD9,81/89 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4/16 h treatment at 1 μM
5,BRD9,0/19 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4/16 h treatment at 1 μM
5,BRD7,0/14 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4/16 h treatment at 1 μM
6,BRD9,0/14 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4/16 h treatment at 1 μM
6,BRD7,19/14 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4/16 h treatment at 1 μM
7,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
7,BRD9,23 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
8,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
8,BRD9,57 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
9,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
9,BRD9,7 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
10,BRD9,26 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
10,BRD7,5 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
11,BRD7,3 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
11,BRD9,,10.1021/acs.jmedchem.8b01413,560,80,Degradation of BRD9 in HeLa cells after 4 h treatment,
12,BRD7,12 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
12,BRD9,50 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
13,BRD7,11 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
13,BRD9,9 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
14,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
14,BRD9,32 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
15,BRD9,1 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
15,BRD7,5 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
16,BRD9,8 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in HeLa cells after 4 h treatment at 1 μM
16,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in HeLa cells after 4 h treatment at 1 μM
17,BRD7,37 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
17,BRD9,37 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
18,BRD9,6 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
18,BRD7,2 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
19,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
19,BRD9,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
20,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
20,BRD9,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
21,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
21,BRD9,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
22,BRD9,,10.1021/acs.jmedchem.8b01413,1.76,95,Degradation of BRD9 in RI-1 cells after 8 h treatment,
22,BRD7,,10.1021/acs.jmedchem.8b01413,34.5,,Degradation of HiBiT-BRD7 in HEK293 cells after 24 h treatment using CRISPR/Cas9,
22,BRD7,,10.1021/acs.jmedchem.8b01413,4.5,95,Degradation of BRD7 in RI-1 cells after 8 h treatment,
22,BRD9,,10.1021/acs.jmedchem.8b01413,2/8,,Degradation of BRD9 in EOL-1/A-204 cells after 18 h treatment on a WES capillary electrophoresis instrument,
22,BRD9,,10.1021/acs.jmedchem.8b01413,4,,Degradation of HiBiT-BRD9 in HEK293 cells after 24 h treatment using CRISPR/Cas9,
23,BRD9,35 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
23,BRD7,35 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
24,BRD9,31 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
24,BRD7,17 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
25,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
25,BRD9,11 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
26,BRD9,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
26,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
27,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
27,BRD9,1 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
28,BRD9,5 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
28,BRD7,8 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
29,BRD7,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
29,BRD9,0 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
30,BRD7,2 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
30,BRD9,11 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
31,BRD9,5 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
31,BRD7,15 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
32,BRD7,30 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD7 degradation in RI-1 cells after 2 h treatment at 1 μM
32,BRD9,32 (WB),10.1021/acs.jmedchem.8b01413,,,,% BRD9 degradation in RI-1 cells after 2 h treatment at 1 μM
