Compound ID,Cell Type,Comments,DC50 (nM),Dmax (%)
106,"RS4;11, MOLM-13","Direct degration studies in this paper only conducted for first and final compounds; during the med chem campaign cell viability was used as the read out. Complex structure with the ligand was modeled based on 4Z93. IC50 of the ligand is between 2nM and 7nM, depending on which BRD. DC50 is between 3nM-10nM.",< 10 nM,100 %
107,"RS4;11, MOLM-13","Complex structure with the ligand was modeled based on 4Z93. IC50 of the ligand is between 2nM and 7nM, depending on which BRD",< 1 nM,100 %
108,"RS4;11, MOLM-13","Complex structure with the ligand was modeled based on 4Z93. IC50 of the ligand is between 2nM and 7nM, depending on which BRD",< 1 nM,100 %
109,"RS4;11, MOLM-13","Complex structure with the ligand was modeled based on 4Z93. IC50 of the ligand is between 2nM and 7nM, depending on which BRD",~ 3 nM,
110,"RS4;11, MOLM-13","Complex structure with the ligand was modeled based on 4Z93. IC50 of the ligand is between 2nM and 7nM, depending on which BRD",~ 10 nM,
111,"MV4-11, MOLM-13, KG1","They show ""dual"" degradation but don't do any test that the dual degradation actually made any difference. They make it sound novel but of course we can call our PROTACs ""dual"" degraders if you can the off-targets ""targets"". EC50 of ligand is in measured in MV4-11 cell line. EC50 of PROTAC is between 4.5nM-6.94nM (depended on the cell line).",< 5 nM,~ 100 %
149,"MOLT-4, MOLM14","General kinase PROTAC, DCmax is for the most degraded kinase. IC50 of the ligand is for 193 kinases in the panel. IC50 of the PROTAC is by FLT3 kinase activity.",< 100 nM,> 85 %
150,"MOLM14, MV4-11",IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines,,
151,"MOLM14, MV4-11",IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines,,
152,"MOLM14, MV4-11",IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines,,
153,"MOLM14, MV4-11",IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines,,
154,"MOLM14, MV4-11",IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines,,
155,"MOLM14, MV4-11",IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines,,
156,"MOLM14, MV4-11",IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines,,
157,"MOLM14, MV4-11",Dmax is difficult to quantify because AC220 raises FLT3 expression levels. IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines. EC50 of PROTAC was measured on MOLM-14 cell lines.,< 10 nM,~ 100 %
158,"MOLM14, MV4-11",Dmax is difficult to quantify because AC220 raises FLT3 expression levels. IC50 of ligand is 1.6 nM (binding); 1.1-4 (activity). EC50 of ligand is measured on MOLM-14 cell lines. EC50 of PROTAC was measured on MOLM-14 cell lines.,< 10 nM,~ 100 %
159,"MOLM14, MV4-11",IC50 of ligand is inhibitory - data from Selleckchem. EC50 of the lidand is Src-dependent cell proliferation - data from Selleckchem.,~ 100 nM,~ 50 %
202,"NAMALWA, XLA","DC50 is 9.1 nM (WT BTK, NAMALWA cells), 14.6 nM (WT BTK, XLA cells), 14.9 nM (C481S, XLA cells). IC50 of PROTAC is 46.9 (WT BTK), 20.9 (C481S). IC50 of ligand is 51.0 nM (WT BTK), 30.7 (C481S)",< 14.9 nM,> 99 %
258,"MV-4-11 SK-MEL-5, NCI-H1568","EC50 of PROTAC is 28nM in MV-4-11, 68nM in NCI-H1568. DC50 is (SMARCA2 6nM, SMARCA4 11nM, PBRM1 32nM in MV-4-11; SMARCA2 3.3nM, PBRM1 15.6nM in NCI-H1568)",< 32 nM,
